Friday,08,May,2026,13:37:34:00009-VCID:3F8DF6FBA67DB563F9-806A,VCDS Version: Release 25.3.0 (x64),Data version: 20250301 DS365.0
8W1 927 155 B,ADVMB,0CL 20TFSINAR H06 0003,
,,G006,F0,G018,F0,G027,F0,G294,F0,G295,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00024-ENG98502,TIME,Loc. IDE00075,TIME,Loc. IDE00090-ENG100894,TIME,Loc. IDE09373-ENG98502,TIME,Loc. IDE09396,,,,,,,,,,,,,,,
,STAMP,ATF temperature-Data,STAMP,Vehicle speed,STAMP,selected gear-Ist Gang,STAMP,Oil pressure reservoir: pressure-Data,STAMP,Aux. hydraulic pump 1: actual RPM,,,,,,,,,,,,,,,
,, ∞C,, km/h,, ,, bar,, /min,,,,,,,,,,,,,,,
,0.59,67,0.80,0,1.01,1,0.13,26.5,0.36,628,,,,,,,,,,,,,,,
,1.69,67,1.90,0,2.12,1,1.25,26.4,1.48,616,,,,,,,,,,,,,,,
,2.79,67,3.02,0,3.26,1,2.35,26.4,2.57,633,,,,,,,,,,,,,,,
,3.93,67,4.15,0,4.37,1,3.50,26.3,3.73,610,,,,,,,,,,,,,,,
,5.03,67,5.25,0,5.49,1,4.59,26.2,4.81,620,,,,,,,,,,,,,,,
,6.13,67,6.35,0,6.57,1,5.69,26.2,5.91,615,,,,,,,,,,,,,,,
,7.24,67,7.46,0,7.67,1,6.79,26.1,7.01,624,,,,,,,,,,,,,,,
,8.32,67,8.54,0,8.78,1,7.89,26.1,8.10,626,,,,,,,,,,,,,,,
,9.52,67,9.76,0,9.99,1,9.02,26.0,9.27,617,,,,,,,,,,,,,,,
,10.64,67,10.86,0,11.08,1,10.20,25.9,10.42,619,,,,,,,,,,,,,,,
,11.74,67,11.97,0,12.18,1,11.30,25.9,11.51,629,,,,,,,,,,,,,,,
,12.84,67,13.06,0,13.28,1,12.40,25.8,12.62,626,,,,,,,,,,,,,,,
,13.98,67,14.18,0,14.40,1,13.52,25.7,13.76,613,,,,,,,,,,,,,,,
,15.06,67,15.28,0,15.52,1,14.62,25.7,14.84,612,,,,,,,,,,,,,,,
,16.25,67,16.46,0,16.69,1,15.77,25.6,16.02,608,,,,,,,,,,,,,,,
,17.34,67,17.56,0,17.78,1,16.91,25.5,17.12,630,,,,,,,,,,,,,,,
,18.43,67,18.65,0,18.87,1,18.01,25.5,18.21,626,,,,,,,,,,,,,,,
,19.55,67,19.79,0,20.02,1,19.09,25.4,19.32,634,,,,,,,,,,,,,,,
,20.67,67,20.89,0,21.11,1,20.23,25.3,20.45,614,,,,,,,,,,,,,,,
,21.77,67,21.98,0,22.21,1,21.33,25.3,21.55,619,,,,,,,,,,,,,,,
,22.88,67,23.11,0,23.33,1,22.44,25.2,22.66,614,,,,,,,,,,,,,,,
,23.98,67,24.20,0,24.42,1,23.54,25.1,23.77,632,,,,,,,,,,,,,,,
,25.09,67,25.32,0,25.54,1,24.64,25.1,24.86,620,,,,,,,,,,,,,,,
,26.20,67,26.42,0,26.64,1,25.77,25.0,25.98,611,,,,,,,,,,,,,,,
,27.30,67,27.52,0,27.73,1,26.85,25.0,27.07,630,,,,,,,,,,,,,,,
,28.39,67,28.60,0,28.82,1,27.95,24.9,28.17,626,,,,,,,,,,,,,,,
,29.48,67,29.70,0,29.92,1,29.05,24.9,29.27,612,,,,,,,,,,,,,,,
,30.58,67,30.80,0,31.03,1,30.14,24.8,30.36,639,,,,,,,,,,,,,,,
,31.68,67,31.90,0,32.12,1,31.25,24.8,31.46,619,,,,,,,,,,,,,,,
,32.80,67,33.02,0,33.23,1,32.34,24.7,32.56,629,,,,,,,,,,,,,,,
,33.89,67,34.11,0,34.33,1,33.45,24.7,33.67,617,,,,,,,,,,,,,,,
,34.98,67,35.20,0,35.42,1,34.54,24.6,34.77,634,,,,,,,,,,,,,,,
,36.08,67,36.30,0,36.52,1,35.64,24.5,35.86,606,,,,,,,,,,,,,,,
,37.17,67,37.39,0,37.61,1,36.73,24.5,36.95,621,,,,,,,,,,,,,,,
,38.27,66,38.48,0,38.70,1,37.82,24.4,38.05,619,,,,,,,,,,,,,,,
,39.36,66,39.58,0,39.81,1,38.92,24.4,39.14,617,,,,,,,,,,,,,,,
,40.48,66,40.70,0,40.92,1,40.04,24.3,40.27,622,,,,,,,,,,,,,,,
,41.57,66,41.79,0,42.02,1,41.14,24.3,41.36,614,,,,,,,,,,,,,,,
