Friday,08,May,2026,14:58:07:00009-VCID:3F8DF6FBA67DB563F9-806A,VCDS Version: Release 25.3.0 (x64),Data version: 20250301 DS365.0
8W1 927 155 B,ADVMB,0CL 20TFSINAR H06 0003,
,,G006,F0,G018,F0,G027,F0,G294,F0,G295,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00024-ENG98502,TIME,Loc. IDE00075,TIME,Loc. IDE00090-ENG100894,TIME,Loc. IDE09373-ENG98502,TIME,Loc. IDE09396,,,,,,,,,,,,,,,
,STAMP,ATF temperature-Data,STAMP,Vehicle speed,STAMP,selected gear-Ist Gang,STAMP,Oil pressure reservoir: pressure-Data,STAMP,Aux. hydraulic pump 1: actual RPM,,,,,,,,,,,,,,,
,, °C,, km/h,, ,, bar,, /min,,,,,,,,,,,,,,,
,0.66,53,0.88,0,0.01,1,0.22,23.7,0.45,618,,,,,,,,,,,,,,,
,1.75,53,1.97,0,1.09,1,1.31,23.6,1.53,612,,,,,,,,,,,,,,,
,2.84,53,3.06,0,2.19,1,2.40,23.6,2.62,607,,,,,,,,,,,,,,,
,3.94,53,4.15,0,3.27,1,3.48,23.5,3.72,624,,,,,,,,,,,,,,,
,5.04,53,5.26,0,4.37,1,4.60,23.4,4.82,624,,,,,,,,,,,,,,,
,6.16,53,6.38,0,5.48,1,5.72,23.4,5.93,614,,,,,,,,,,,,,,,
,7.27,53,7.49,0,6.60,1,6.83,23.3,7.05,591,,,,,,,,,,,,,,,
,8.40,53,8.62,0,7.73,1,7.96,23.2,8.18,611,,,,,,,,,,,,,,,
,9.50,53,9.72,0,8.84,1,9.06,23.2,9.28,603,,,,,,,,,,,,,,,
,10.59,53,10.81,0,9.93,1,10.15,23.1,10.37,607,,,,,,,,,,,,,,,
,11.69,53,11.91,0,11.03,1,11.25,23.0,11.47,595,,,,,,,,,,,,,,,
,12.76,53,12.99,0,12.11,1,12.32,23.0,12.54,618,,,,,,,,,,,,,,,
,13.93,53,14.15,0,13.23,1,13.48,22.0,13.72,0,,,,,,,,,,,,,,,
,15.03,53,15.25,0,14.37,R,14.59,21.2,14.81,272,,,,,,,,,,,,,,,
,16.16,53,16.38,0,15.48,R,15.72,21.2,15.94,999,,,,,,,,,,,,,,,
,17.27,53,17.49,0,16.60,R,16.82,21.7,17.04,974,,,,,,,,,,,,,,,
,18.37,53,18.59,0,17.71,R,17.93,22.2,18.15,1025,,,,,,,,,,,,,,,
,19.47,53,19.68,0,18.81,R,19.03,22.8,19.24,1012,,,,,,,,,,,,,,,
,20.56,53,20.78,0,19.90,R,20.12,23.3,20.34,1217,,,,,,,,,,,,,,,
,21.71,53,21.93,1,21.00,R,21.23,28.4,21.46,803,,,,,,,,,,,,,,,
,22.81,53,23.03,1,22.15,R,22.37,28.3,22.59,999,,,,,,,,,,,,,,,
,23.94,53,24.15,1,23.25,R,23.48,28.2,23.72,1096,,,,,,,,,,,,,,,
,25.03,53,25.26,1,24.37,R,24.59,28.1,24.81,1019,,,,,,,,,,,,,,,
,26.15,53,26.37,1,25.48,R,25.72,28.0,25.94,998,,,,,,,,,,,,,,,
,27.25,53,27.47,1,26.59,R,26.81,27.8,27.03,1004,,,,,,,,,,,,,,,
,28.34,53,28.56,1,27.69,R,27.90,27.7,28.12,1017,,,,,,,,,,,,,,,
,29.48,53,29.73,2,28.78,R,29.00,27.6,29.23,893,,,,,,,,,,,,,,,
,30.62,53,30.84,3,29.96,R,30.19,27.5,30.40,795,,,,,,,,,,,,,,,
,31.72,53,31.94,2,31.06,R,31.28,27.4,31.50,609,,,,,,,,,,,,,,,
,32.81,53,33.03,2,32.16,R,32.38,27.3,32.59,610,,,,,,,,,,,,,,,
,33.91,53,34.13,2,33.25,R,33.47,27.2,33.69,611,,,,,,,,,,,,,,,
,35.00,53,35.22,2,34.34,R,34.56,27.0,34.78,608,,,,,,,,,,,,,,,
,36.10,53,36.32,3,35.44,R,35.66,26.9,35.88,608,,,,,,,,,,,,,,,
,37.22,53,37.44,3,36.54,R,36.76,26.9,36.98,627,,,,,,,,,,,,,,,
,38.33,53,38.54,2,37.66,R,37.88,26.7,38.10,595,,,,,,,,,,,,,,,
,39.44,53,39.65,3,38.76,R,38.98,26.6,39.22,613,,,,,,,,,,,,,,,
,40.55,53,40.76,2,39.87,R,40.09,26.5,40.32,611,,,,,,,,,,,,,,,
,41.66,53,41.88,2,40.98,R,41.22,26.4,41.44,614,,,,,,,,,,,,,,,
